Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 08/07  12:00:00,384125480.224695,384125480.224695,23333932.0463057,96660690.5880898,177667514.306075 
 08/07  13:00:00,397541118.925476,397541118.925476,23270961.2244047,96660690.5880898,179858086.836092 
 08/07  14:00:00,396293270.660362,396293270.660362,13443557.1158146,96660690.5880898,167093070.352576 
 08/07  15:00:00,401813067.278652,401813067.278652,17595861.4476632,96660690.5880898,167093070.352576 
 08/07  16:00:00,413438900.802984,413438900.802984,18067955.8294954,96660690.5880898,177537174.74818 
 08/07  17:00:00,296239510.419294,296239510.419294,13097227.2854995,53700383.6600498,140923939.573165 
 08/07  18:00:00,182204503.413254,182204503.413254,8763286.13890927,32374742.118079,69106004.4057846 
 08/07  19:00:00,167458855.215518,167458855.215518,8689227.24258109,38523345.3041813,59822356.0541363 
 08/07  20:00:00,158069367.655402,158069367.655402,8713698.63017173,27302827.8427063,59822356.0541363 
 08/07  21:00:00,137408725.980401,137408725.980401,4597200.,27302827.8427063,55180531.8783121 
 08/07  22:00:00,99285849.1003389,99285849.1003388,4597200.,13651413.9213531,55180531.8783121 
 08/07  23:00:00,92454692.4766817,92454692.4766817,4597200.,6825706.96067657,55180531.8783121 
 08/07  24:00:00,72339865.2674801,72339865.26748,4597200.,7915463.67251137,44533202.0018108 
 08/08  01:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/08  02:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/08  03:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/08  04:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/08  05:00:00,75548266.3383602,75548266.3383602,4597200.,15830927.3450227,44533202.0018108 
 08/08  06:00:00,81801782.4886101,81801782.48861,4597200.,12041745.2754587,55180531.8783121 
 08/08  07:00:00,165851377.333141,165851377.333141,4597200.,32257857.6080432,95796493.4167736 
 08/08  08:00:00,385872231.136221,385872231.136221,4597200.,96660690.5880898,204227663.759169 
 08/08  09:00:00,376406476.310161,376406476.310161,8973807.26160665,96660690.5880898,174055806.616312 
 08/08  10:00:00,391607157.640571,391607157.640571,14634103.2239276,96660690.5880898,167093070.352576 
 08/08  11:00:00,418709062.314824,418709062.314824,21478133.2104036,96660690.5880898,174055806.616312 
 08/08  12:00:00,414222976.491957,414222976.491957,23339525.4430243,96660690.5880898,177667514.306075 
 08/08  13:00:00,439066595.530324,439066595.530324,23273513.9404203,96660690.5880898,179858086.836092 
 08/08  14:00:00,420236940.328405,420236940.328405,17790782.0932104,96660690.5880898,167093070.352576 
 08/08  15:00:00,421486907.657844,421486907.657844,13258295.9895757,96660690.5880898,167093070.352576 
 08/08  16:00:00,440270508.597151,440270508.597151,17999946.6575242,96660690.5880898,177537174.74818 
 08/08  17:00:00,314151761.983671,314151761.983671,13142877.1163398,53700383.6600498,140923939.573165 
 08/08  18:00:00,199853111.452407,199853111.452407,8766827.47658243,32556467.110728,69106004.4057846 
 08/08  19:00:00,198146502.832288,198146502.832288,8700182.9417288,39950041.956309,59822356.0541363 
